Id,Nome,FrequenciaAtividadeFisica,Sexo,Idade
1,Lydia,Yearly,Female,50
2,Reider,Seldom,Male,30
3,Lianne,Monthly,,31
4,Diarmid,Often,Non-binary,34
5,,Daily,Female,32
6,Ad,Seldom,Male,55
7,Sheilah,Daily,Female,59
8,Cly,Daily,Male,35
9,Onfroi,Seldom,Male,57
10,Ogdon,Weekly,Genderfluid,22
11,Bartholemy,Seldom,Male,57
12,Dolly,Monthly,Female,25
13,Jarrad,Daily,Male,26
14,Wyatt,Often,Male,57
15,Cristian,Monthly,Male,45
16,Ashley,Daily,Female,38
17,Nada,Often,Female,52
18,Leonanie,Once,,37
19,Missie,Weekly,Female,35
20,Tam,Seldom,Male,25
21,Fanechka,Daily,Genderqueer,56
22,Emelia,Seldom,Female,27
23,Dmitri,Weekly,Male,33
24,Joseph,Often,Male,46
25,Mischa,Once,Male,45
26,Levon,Never,Agender,46
27,Hugues,Seldom,Male,38
28,Kristo,Yearly,Male,53
29,Adolphe,Weekly,Male,53
30,Isidor,Often,Male,21
31,Geoff,Once,Male,42
32,,Once,Female,47
33,Joeann,Weekly,Female,38
34,Thoma,Monthly,Male,33
35,Padraic,Weekly,Male,59
36,Aloysia,Seldom,Female,50
37,Guss,Often,Male,24
38,Patience,Daily,Female,53
39,Keelia,Once,Female,44
40,Adrian,Often,Female,20
41,Kent,Monthly,Male,22
42,,Often,Non-binary,24
43,Rivy,Monthly,Female,43
44,Ramsey,Once,Male,44
45,,Weekly,Bigender,32
46,Lillian,Seldom,Female,21
47,Perry,Daily,Female,50
48,Bonnee,Often,Female,41
49,Chev,Weekly,Male,54
50,Stevie,Once,Male,20
51,Atlante,Monthly,Female,49
52,,Once,Male,55
53,Jere,Once,Non-binary,45
54,Burgess,Seldom,Male,32
55,Merci,Often,Agender,48
56,Itch,Daily,Male,48
57,,Often,Female,22
58,Rudd,Daily,Male,40
59,Somerset,Yearly,Male,55
60,,Seldom,Male,46
61,Dimitri,Often,Male,22
62,Garvy,Daily,Male,58
63,Casper,Seldom,Male,31
64,Deerdre,Once,,56
65,Donnajean,Daily,Female,39
66,Grantham,Seldom,Male,34
67,Georgi,Yearly,Male,48
68,Bartholemy,,Male,
69,Ron,Yearly,Male,31
70,Aloysius,Once,Male,49
71,Prent,Yearly,Male,23
72,Bertram,Yearly,Male,60
73,,Daily,Female,49
74,Michell,Never,Female,50
75,Mozelle,Seldom,Female,20
76,Windham,Often,Male,50
77,Zitella,Once,Female,31
78,,Yearly,Male,60
79,Obie,Seldom,Male,53
80,Bevan,Once,Male,38
81,Avrom,Seldom,Male,50
82,Arman,Monthly,Male,49
83,,Often,Female,20
84,Alfie,Weekly,Genderfluid,57
85,Rawley,Never,Male,50
86,Gar,Yearly,Male,48
87,Janeta,Once,Female,43
88,Hoebart,Monthly,Male,48
89,Helyn,Weekly,Female,51
90,Maurice,Once,Male,56
91,Mariel,Yearly,Female,56
92,Carter,Weekly,Male,59
93,Archibaldo,Seldom,Male,32
94,Rubie,Seldom,Female,32
95,Sauncho,Weekly,Male,54
